ID,Weekday,Month,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,Holiday
156,3,7,2.3,33.3,0,0,25.6,30.6,20.6,0
157,4,2,4.7,0,0,0,17.6,25,12.2,0
158,2,10,2.2,0.8,0,0,18.4,21.1,10.6,0
159,0,9,2.3,0.5,0,0,27.4,35,24.4,1
160,5,9,4.1,2.5,0,0,29.3,35,23.9,0
161,4,12,4.8,0,0,0,3.9,6.1,1.1,0
162,1,1,3.9,0,0,0,3.8,13.3,-2.1,0
163,2,12,1.5,22.4,0,0,9,15,7.8,0
164,0,8,1.7,0,0,0,25.7,31.7,20.6,0
165,1,6,3,0,0,0,28.7,36.1,22.8,0
166,5,3,5.5,0,0,0,1.4,6.7,-3.2,0
167,1,12,1.7,10.2,0,0,7.1,10,3.9,0
168,4,10,2.6,0,0,0,11.5,15,7.8,0
169,4,9,4.4,0,0,0,24.1,26.7,19.4,0
170,1,2,3.1,0,0,0,3.4,7.8,-1,0
171,1,10,4.8,3.8,0,0,19.7,23.9,16.7,0
172,4,10,3.3,2,0,0,17.8,18.9,13.3,0
173,3,5,4.6,10.2,0,0,21.8,27.2,18.9,0
174,0,12,5.2,0,0,0,3,3.3,1.7,0
175,6,1,2.6,0,0,0,4.6,9.4,2.2,0
176,5,6,1.4,0,0,0,23.8,30,17.8,0
177,1,4,4.1,30.7,0,0,10.6,11.1,6.7,0
178,5,3,6.5,0,0,0,0.6,4.4,-3.2,0
179,6,7,4.3,2.5,0,0,26.6,30.6,22.8,0
180,6,6,2.7,2.3,0,0,23.4,27.8,20,0
181,4,4,3.8,1.5,0,0,13.2,17.2,10,0
182,4,1,1.6,0.3,0,0,6.5,9.4,3.9,1
183,4,7,1.9,0,0,0,24.8,30,20,0
184,6,10,2.6,0,0,0,14.8,18.3,11.7,0
185,4,8,3.4,0,0,0,23.1,27.8,16.7,0
186,2,8,2.5,6.6,0,0,26,31.7,22.2,0
187,4,5,2.8,0,0,0,18,24.4,15,0
188,4,5,6.3,0,0,0,22.8,27.2,16.1,0
189,1,7,5.4,19.3,0,0,30.1,35.6,22.2,0
190,2,3,5.6,0.3,0,0,15.2,20,10,0
191,5,8,3,5.3,0,0,23.7,24.4,21.7,0
192,0,4,7.3,1.5,0,0,22.3,26.7,18.3,0
193,1,6,3.2,0.3,0,0,24.2,30,19.4,0
194,1,7,4.7,0,0,0,22.4,25.6,18.3,0
195,2,3,7.4,0,0,0,10.4,15,2.8,0
196,6,9,2.8,0,0,0,23,30,17.8,0
197,1,7,3.7,0,0,0,26.5,31.1,23.3,0
198,1,3,3,0,0,0,11.2,17.2,7.8,0
199,2,11,4.7,0,0,0,-1.4,4.4,-5.5,0
200,4,2,4.9,0,0,0,2.8,4.4,-1,0
201,3,8,3.2,0,0,0,23.9,29.4,17.8,0
202,2,11,4.7,0,0,0,17.2,20,7.2,0
203,6,1,3.1,0,0,0,4.8,8.3,1.7,0
204,6,11,1.3,0,0,0,10.8,16.1,6.7,0
205,1,5,1.7,0,0,0,15.3,23.3,11.7,0
206,2,8,2.1,0,0,0,26.2,31.7,20.6,0
207,3,5,3.8,0,0,0,23.6,31.7,18.3,0
208,1,7,2.4,43.4,0,0,26.9,31.7,22.2,0
209,0,7,3,4.1,0,0,27.9,33.9,24.4,0
210,3,8,4.6,0,0,0,27.5,30,21.7,0
211,2,5,3.1,0,0,0,18.3,19.4,15.6,0
212,5,10,3.2,0,0,0,16.2,23.3,9.4,0
213,3,1,2.9,0,0,0,1.8,2.8,-1,0
214,4,7,3.4,0,0,0,24.1,29.4,18.3,0
215,6,5,2.5,0,0,0,21.8,27.2,16.7,0
216,3,7,3.1,9.1,0,0,27.7,33.3,23.9,0
217,5,11,3.1,0,0,0,4.2,9.4,1.1,0
218,1,8,2.4,40.6,0,0,23.7,25.6,22.8,0
219,5,1,2.2,7.4,0,0,3.8,6.1,1.1,0
220,0,10,5.4,0,0,0,16.2,25,9.4,0
221,5,11,3.8,0,0,0,2.5,11.1,-3.2,0
222,5,6,3.1,0,0,0,25.5,30.6,20.6,0
223,1,9,2.5,0,0,0,17.4,23.9,12.2,0
224,2,5,2.3,3.6,0,0,16,18.3,12.8,0
225,3,9,2.6,0,0,0,27.2,32.8,23.3,0
226,4,2,1.8,0,0,0,2.7,10.6,-2.1,0
227,2,4,6,0,0,0,5,10.6,1.1,1
228,2,2,2.4,0,0,0,6.1,10.6,1.1,0
229,6,11,4.3,0,0,0,9.7,18.9,5.6,0
230,0,4,3,9.7,0,0,9.2,12.2,5.6,0
231,2,7,3,0.5,0,0,25.6,31.7,22.8,0
232,5,1,2.3,0,0,0,8.9,10,8.3,0
233,2,2,3,0,0,0,10.6,17.2,7.8,0
234,1,9,4.1,0,0,0,22.3,26.7,17.2,0
235,3,5,3,7.4,0,0,16.7,16.7,14.4,0
236,3,5,3.3,4.1,0,0,19.3,25,13.9,0
237,5,5,2.4,0,0,0,18.2,23.3,13.9,0
238,6,10,5.3,0,0,0,13.6,16.7,10,0
239,3,2,6,0,0,0,2.8,5.6,0,0
240,2,7,3,0,0,0,21.6,26.7,15.6,0
241,6,7,4,0,0,0,25,31.7,18.3,0
242,6,10,4.6,0,0,0,17.9,22.8,10.6,0
243,5,5,3.3,0,0,0,16.4,20.6,11.1,0
244,3,6,4.9,0.3,0,0,23.3,27.8,18.9,0
245,1,1,2.6,21.8,0,0,6.6,7.8,6.1,0
246,5,5,4.2,0,0,0,22.1,27.2,16.1,0
247,6,1,1.9,0,0,0,8.1,13.3,2.8,1
248,0,11,6.6,4.6,0,0,17.4,23.3,13.3,0
249,4,6,3.2,0,0,0,22.4,27.2,16.7,0
250,4,6,2.7,0,0,0,24.9,30.6,21.1,0
251,6,5,4.1,0,0,0,16.3,20.6,11.7,0
252,5,12,1.1,0,0,0,7.3,15.6,2.2,0
253,6,3,3.4,0,0,0,-0.2,4.4,-4.9,0
254,0,2,2.9,0,0,0,7.2,12.8,2.2,0
255,4,1,5.6,0,0,0,13.6,18.3,6.1,0
256,3,7,2.3,33.3,0,0,25.6,30.6,20.6,0
257,4,2,4.7,0,0,0,17.6,25,12.2,0
258,2,10,2.2,0.8,0,0,18.4,21.1,10.6,0
259,0,9,2.3,0.5,0,0,27.4,35,24.4,1
260,5,9,4.1,2.5,0,0,29.3,35,23.9,0
261,4,12,4.8,0,0,0,3.9,6.1,1.1,0
262,1,1,3.9,0,0,0,3.8,13.3,-2.1,0
263,2,12,1.5,22.4,0,0,9,15,7.8,0
264,0,8,1.7,0,0,0,25.7,31.7,20.6,0
265,1,6,3,0,0,0,28.7,36.1,22.8,0
266,5,3,5.5,0,0,0,1.4,6.7,-3.2,0
267,1,12,1.7,10.2,0,0,7.1,10,3.9,0
268,4,10,2.6,0,0,0,11.5,15,7.8,0
269,4,9,4.4,0,0,0,24.1,26.7,19.4,0
270,1,2,3.1,0,0,0,3.4,7.8,-1,0
271,1,10,4.8,3.8,0,0,19.7,23.9,16.7,0
272,4,10,3.3,2,0,0,17.8,18.9,13.3,0
273,3,5,4.6,10.2,0,0,21.8,27.2,18.9,0
274,0,12,5.2,0,0,0,3,3.3,1.7,0
275,6,1,2.6,0,0,0,4.6,9.4,2.2,0
276,5,6,1.4,0,0,0,23.8,30,17.8,0
277,1,4,4.1,30.7,0,0,10.6,11.1,6.7,0
278,5,3,6.5,0,0,0,0.6,4.4,-3.2,0
279,6,7,4.3,2.5,0,0,26.6,30.6,22.8,0
280,6,6,2.7,2.3,0,0,23.4,27.8,20,0
281,4,4,3.8,1.5,0,0,13.2,17.2,10,0
282,4,1,1.6,0.3,0,0,6.5,9.4,3.9,1
283,4,7,1.9,0,0,0,24.8,30,20,0
284,6,10,2.6,0,0,0,14.8,18.3,11.7,0
285,4,8,3.4,0,0,0,23.1,27.8,16.7,0
286,2,8,2.5,6.6,0,0,26,31.7,22.2,0
287,4,5,2.8,0,0,0,18,24.4,15,0
288,4,5,6.3,0,0,0,22.8,27.2,16.1,0
289,1,7,5.4,19.3,0,0,30.1,35.6,22.2,0
290,2,3,5.6,0.3,0,0,15.2,20,10,0
291,5,8,3,5.3,0,0,23.7,24.4,21.7,0
292,0,4,7.3,1.5,0,0,22.3,26.7,18.3,0
293,1,6,3.2,0.3,0,0,24.2,30,19.4,0
294,1,7,4.7,0,0,0,22.4,25.6,18.3,0
295,2,3,7.4,0,0,0,10.4,15,2.8,0
296,6,9,2.8,0,0,0,23,30,17.8,0
297,1,7,3.7,0,0,0,26.5,31.1,23.3,0
298,1,3,3,0,0,0,11.2,17.2,7.8,0
299,2,11,4.7,0,0,0,-1.4,4.4,-5.5,0
300,4,2,4.9,0,0,0,2.8,4.4,-1,0
301,3,8,3.2,0,0,0,23.9,29.4,17.8,0
302,2,11,4.7,0,0,0,17.2,20,7.2,0
303,6,1,3.1,0,0,0,4.8,8.3,1.7,0
304,6,11,1.3,0,0,0,10.8,16.1,6.7,0
305,1,5,1.7,0,0,0,15.3,23.3,11.7,0
306,2,8,2.1,0,0,0,26.2,31.7,20.6,0
307,3,5,3.8,0,0,0,23.6,31.7,18.3,0
308,1,7,2.4,43.4,0,0,26.9,31.7,22.2,0
309,0,7,3,4.1,0,0,27.9,33.9,24.4,0
310,3,8,4.6,0,0,0,27.5,30,21.7,0
311,2,5,3.1,0,0,0,18.3,19.4,15.6,0
312,5,10,3.2,0,0,0,16.2,23.3,9.4,0
313,3,1,2.9,0,0,0,1.8,2.8,-1,0
314,4,7,3.4,0,0,0,24.1,29.4,18.3,0
315,6,5,2.5,0,0,0,21.8,27.2,16.7,0
316,3,7,3.1,9.1,0,0,27.7,33.3,23.9,0
317,5,11,3.1,0,0,0,4.2,9.4,1.1,0
318,1,8,2.4,40.6,0,0,23.7,25.6,22.8,0
319,5,1,2.2,7.4,0,0,3.8,6.1,1.1,0
320,0,10,5.4,0,0,0,16.2,25,9.4,0
321,5,11,3.8,0,0,0,2.5,11.1,-3.2,0
322,5,6,3.1,0,0,0,25.5,30.6,20.6,0
323,1,9,2.5,0,0,0,17.4,23.9,12.2,0
324,2,5,2.3,3.6,0,0,16,18.3,12.8,0
325,3,9,2.6,0,0,0,27.2,32.8,23.3,0
326,4,2,1.8,0,0,0,2.7,10.6,-2.1,0
327,2,4,6,0,0,0,5,10.6,1.1,1
328,2,2,2.4,0,0,0,6.1,10.6,1.1,0
329,6,11,4.3,0,0,0,9.7,18.9,5.6,0
330,0,4,3,9.7,0,0,9.2,12.2,5.6,0
331,2,7,3,0.5,0,0,25.6,31.7,22.8,0
332,5,1,2.3,0,0,0,8.9,10,8.3,0
333,2,2,3,0,0,0,10.6,17.2,7.8,0
334,1,9,4.1,0,0,0,22.3,26.7,17.2,0
335,3,5,3,7.4,0,0,16.7,16.7,14.4,0
336,3,5,3.3,4.1,0,0,19.3,25,13.9,0
337,5,5,2.4,0,0,0,18.2,23.3,13.9,0
338,6,10,5.3,0,0,0,13.6,16.7,10,0
339,3,2,6,0,0,0,2.8,5.6,0,0
340,2,7,3,0,0,0,21.6,26.7,15.6,0
341,6,7,4,0,0,0,25,31.7,18.3,0
342,6,10,4.6,0,0,0,17.9,22.8,10.6,0
343,5,5,3.3,0,0,0,16.4,20.6,11.1,0
344,3,6,4.9,0.3,0,0,23.3,27.8,18.9,0
345,1,1,2.6,21.8,0,0,6.6,7.8,6.1,0
346,5,5,4.2,0,0,0,22.1,27.2,16.1,0
347,6,1,1.9,0,0,0,8.1,13.3,2.8,1
348,0,11,6.6,4.6,0,0,17.4,23.3,13.3,0
349,4,6,3.2,0,0,0,22.4,27.2,16.7,0
350,4,6,2.7,0,0,0,24.9,30.6,21.1,0
351,6,5,4.1,0,0,0,16.3,20.6,11.7,0
352,5,12,1.1,0,0,0,7.3,15.6,2.2,0
353,6,3,3.4,0,0,0,-0.2,4.4,-4.9,0
354,0,2,2.9,0,0,0,7.2,12.8,2.2,0
355,4,1,5.6,0,0,0,13.6,18.3,6.1,0
356,3,7,2.3,33.3,0,0,25.6,30.6,20.6,0
357,4,2,4.7,0,0,0,17.6,25,12.2,0
358,2,10,2.2,0.8,0,0,18.4,21.1,10.6,0
359,0,9,2.3,0.5,0,0,27.4,35,24.4,1
360,5,9,4.1,2.5,0,0,29.3,35,23.9,0
361,4,12,4.8,0,0,0,3.9,6.1,1.1,0
362,1,1,3.9,0,0,0,3.8,13.3,-2.1,0
363,2,12,1.5,22.4,0,0,9,15,7.8,0
364,0,8,1.7,0,0,0,25.7,31.7,20.6,0
365,1,6,3,0,0,0,28.7,36.1,22.8,0
366,5,3,5.5,0,0,0,1.4,6.7,-3.2,0
367,1,12,1.7,10.2,0,0,7.1,10,3.9,0
368,4,10,2.6,0,0,0,11.5,15,7.8,0
369,4,9,4.4,0,0,0,24.1,26.7,19.4,0
370,1,2,3.1,0,0,0,3.4,7.8,-1,0
371,1,10,4.8,3.8,0,0,19.7,23.9,16.7,0
372,4,10,3.3,2,0,0,17.8,18.9,13.3,0
373,3,5,4.6,10.2,0,0,21.8,27.2,18.9,0
374,0,12,5.2,0,0,0,3,3.3,1.7,0
375,6,1,2.6,0,0,0,4.6,9.4,2.2,0
376,5,6,1.4,0,0,0,23.8,30,17.8,0
377,1,4,4.1,30.7,0,0,10.6,11.1,6.7,0
378,5,3,6.5,0,0,0,0.6,4.4,-3.2,0
379,6,7,4.3,2.5,0,0,26.6,30.6,22.8,0
380,6,6,2.7,2.3,0,0,23.4,27.8,20,0
381,4,4,3.8,1.5,0,0,13.2,17.2,10,0
382,4,1,1.6,0.3,0,0,6.5,9.4,3.9,1
383,4,7,1.9,0,0,0,24.8,30,20,0
384,6,10,2.6,0,0,0,14.8,18.3,11.7,0
385,4,8,3.4,0,0,0,23.1,27.8,16.7,0
386,2,8,2.5,6.6,0,0,26,31.7,22.2,0
387,4,5,2.8,0,0,0,18,24.4,15,0
388,4,5,6.3,0,0,0,22.8,27.2,16.1,0
389,1,7,5.4,19.3,0,0,30.1,35.6,22.2,0
390,2,3,5.6,0.3,0,0,15.2,20,10,0
391,5,8,3,5.3,0,0,23.7,24.4,21.7,0
392,0,4,7.3,1.5,0,0,22.3,26.7,18.3,0
393,1,6,3.2,0.3,0,0,24.2,30,19.4,0
394,1,7,4.7,0,0,0,22.4,25.6,18.3,0
395,2,3,7.4,0,0,0,10.4,15,2.8,0
396,6,9,2.8,0,0,0,23,30,17.8,0
397,1,7,3.7,0,0,0,26.5,31.1,23.3,0
398,1,3,3,0,0,0,11.2,17.2,7.8,0
399,2,11,4.7,0,0,0,-1.4,4.4,-5.5,0
400,4,2,4.9,0,0,0,2.8,4.4,-1,0
401,3,8,3.2,0,0,0,23.9,29.4,17.8,0
402,2,11,4.7,0,0,0,17.2,20,7.2,0
403,6,1,3.1,0,0,0,4.8,8.3,1.7,0
404,6,11,1.3,0,0,0,10.8,16.1,6.7,0
405,1,5,1.7,0,0,0,15.3,23.3,11.7,0
406,2,8,2.1,0,0,0,26.2,31.7,20.6,0
407,3,5,3.8,0,0,0,23.6,31.7,18.3,0
408,1,7,2.4,43.4,0,0,26.9,31.7,22.2,0
409,0,7,3,4.1,0,0,27.9,33.9,24.4,0
410,3,8,4.6,0,0,0,27.5,30,21.7,0
411,2,5,3.1,0,0,0,18.3,19.4,15.6,0
412,5,10,3.2,0,0,0,16.2,23.3,9.4,0
413,3,1,2.9,0,0,0,1.8,2.8,-1,0
414,4,7,3.4,0,0,0,24.1,29.4,18.3,0
415,6,5,2.5,0,0,0,21.8,27.2,16.7,0
416,3,7,3.1,9.1,0,0,27.7,33.3,23.9,0
417,5,11,3.1,0,0,0,4.2,9.4,1.1,0
418,1,8,2.4,40.6,0,0,23.7,25.6,22.8,0
419,5,1,2.2,7.4,0,0,3.8,6.1,1.1,0
420,0,10,5.4,0,0,0,16.2,25,9.4,0
421,5,11,3.8,0,0,0,2.5,11.1,-3.2,0
422,5,6,3.1,0,0,0,25.5,30.6,20.6,0
423,1,9,2.5,0,0,0,17.4,23.9,12.2,0
424,2,5,2.3,3.6,0,0,16,18.3,12.8,0
425,3,9,2.6,0,0,0,27.2,32.8,23.3,0
426,4,2,1.8,0,0,0,2.7,10.6,-2.1,0
427,2,4,6,0,0,0,5,10.6,1.1,1
428,2,2,2.4,0,0,0,6.1,10.6,1.1,0
429,6,11,4.3,0,0,0,9.7,18.9,5.6,0
430,0,4,3,9.7,0,0,9.2,12.2,5.6,0
431,2,7,3,0.5,0,0,25.6,31.7,22.8,0
432,5,1,2.3,0,0,0,8.9,10,8.3,0
433,2,2,3,0,0,0,10.6,17.2,7.8,0
434,1,9,4.1,0,0,0,22.3,26.7,17.2,0
435,3,5,3,7.4,0,0,16.7,16.7,14.4,0
436,3,5,3.3,4.1,0,0,19.3,25,13.9,0
437,5,5,2.4,0,0,0,18.2,23.3,13.9,0
438,6,10,5.3,0,0,0,13.6,16.7,10,0
439,3,2,6,0,0,0,2.8,5.6,0,0
440,2,7,3,0,0,0,21.6,26.7,15.6,0
441,6,7,4,0,0,0,25,31.7,18.3,0
442,6,10,4.6,0,0,0,17.9,22.8,10.6,0
443,5,5,3.3,0,0,0,16.4,20.6,11.1,0
444,3,6,4.9,0.3,0,0,23.3,27.8,18.9,0
445,1,1,2.6,21.8,0,0,6.6,7.8,6.1,0
446,5,5,4.2,0,0,0,22.1,27.2,16.1,0
447,6,1,1.9,0,0,0,8.1,13.3,2.8,1
448,0,11,6.6,4.6,0,0,17.4,23.3,13.3,0
449,4,6,3.2,0,0,0,22.4,27.2,16.7,0
450,4,6,2.7,0,0,0,24.9,30.6,21.1,0
451,6,5,4.1,0,0,0,16.3,20.6,11.7,0
452,5,12,1.1,0,0,0,7.3,15.6,2.2,0
453,6,3,3.4,0,0,0,-0.2,4.4,-4.9,0
454,0,2,2.9,0,0,0,7.2,12.8,2.2,0
455,4,1,5.6,0,0,0,13.6,18.3,6.1,0
456,3,7,2.3,33.3,0,0,25.6,30.6,20.6,0
457,4,2,4.7,0,0,0,17.6,25,12.2,0
458,2,10,2.2,0.8,0,0,18.4,21.1,10.6,0
459,0,9,2.3,0.5,0,0,27.4,35,24.4,1
460,5,9,4.1,2.5,0,0,29.3,35,23.9,0
461,4,12,4.8,0,0,0,3.9,6.1,1.1,0
462,1,1,3.9,0,0,0,3.8,13.3,-2.1,0
463,2,12,1.5,22.4,0,0,9,15,7.8,0
464,0,8,1.7,0,0,0,25.7,31.7,20.6,0
465,1,6,3,0,0,0,28.7,36.1,22.8,0
466,5,3,5.5,0,0,0,1.4,6.7,-3.2,0
